Manual Steps,question_text,id,correct_answer_message
 Dumping Debt,What is the first step to getting out of debt?,label_for_q3_a3,Exactly! In order to break the cycle of debt you need to start by stopping the destructive behavior.
 Dumping Debt,"Listing your debts, smallest to largest, is the first step of the ___________.",label_for_q4_a4,"Exactly. As you pay off each smaller debt, you pick up more money to use to attack the other debts."
 Dumping Debt,"If you had the following four credit card debts, which would be the first one to attack if you were following the debt snowball?",label_for_q5_a1,"That is correct. Always pay the smallest debt first, regardless of interest rate. Once that one is gone, roll the payment into the next smallest."
end ,Great job! You have completed:,,
The Pinnacle Point,"What is the pinnacle point, related to investing?",label_for_q1_a2,Yes! This is the point where your money is truly working for you.
The Pinnacle Point,What is considered long-term investing?,label_for_q2_a3,Exactly. This is money you are going to invest and leave alone so compound interest can work its magic.
The Pinnacle Point,What is Baby Step 4?,label_for_q3_a1,"Yep. 15%, not 10% and not 18%. Just 15%. There are other Baby Steps to attack."
The Pinnacle Point,"Dave said, ""If you think money is ___________, you will never do anything with it.""",label_for_q4_a1,Exactly. Good job.
The Pinnacle Point,"Money, by itself, is not good or evil; it is _______________.",label_for_q5_a4,Correct. Money has no morals. It is neither good nor bad; it is just money.
end ,Great job! You have completed:,,
Investing Basics,Zero dollars invested at 12% will provide you how much over 40 years?,label_for_q1_a1,"Absolutely. If you don’t invest any money, you won’t earn any money. There is no retirement fairy waiting to bless you."
Investing Basics,Which of the following is not used as an example of the market?,label_for_q2_a3,"Correct! While it is a lot of fun, flinging flying discs around a wooded park has nothing to do with the market. Unless you are just haphazardly flinging money at investments—and we don’t recommend that."
Investing Basics,"Two months after the 9/11 terrorist attacks, the market __________.",label_for_q3_a2,"Absolutely! Within two months, the market was back to where it had been the day before the attacks."
Investing Basics,What can you do to avoid the risk of inflation?,label_for_q4_a3,Exactly. You need to avoid having your investments get tackled from behind when they are earning less than inflation.
Investing Basics,What does diversification mean?,label_for_q5_a4,Correct. The best way to protect your investment eggs is to put them in a bunch of different baskets.
end ,Great job! You have completed:,,
Retirement Plans,What are the three main types of investments identified in this lesson?,label_for_q1_a2,"Yes, that is correct. Great job!"
Retirement Plans,True or false? Buying single stocks is a great way to build wealth.,label_for_q2_a2,Correct. Always buy stock within mutual funds that contain lots of different stocks.
Retirement Plans,What does “tax-deferred” mean?,label_for_q3_a3,"Correct. You will still have to pay taxes on the money, but not until you take it out, preferably at retirement."
Retirement Plans,What is a 401(k)?,label_for_q4_a1,"Yes. And if your company provides matching funds, that ends up being extra “free money” to help you prepare for retirement."
Retirement Plans,What is the big deal with a Roth 401(k)?,label_for_q5_a4,"Exactly! And you know what we call tax-free: free money! That is a great thing, so take advantage of Roth plans."
end ,Great job! You have completed:,,
,True or false? Borrowing against your 401(k) is a great way to get cash to pay for a car or an emergency.,,
